20210126,罗湖区,布心,次新小区靠山安静，电梯小高层低密度，户型好精装修.,330万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.35平米                                  | 东南 南,http://ke-image.ljcdn.com/110000-inspection/pc1_RwYH1RFGt_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,颖隆大厦 2室1厅 北,260万,中楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.93平米                                  | 北,http://ke-image.ljcdn.com/hdic-frame/1D44C475D24949FCA52A20D5211D4599___24dfb5eea066848d563471177cc76c47.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,置富公寓 1室0厅 南新上,300万,高楼层                                    (共7层)                                                                      | 2006年建 |                                1室0厅 | 29.06平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/208e614c-5be6-45d0-b564-f1a26f04255d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,顶楼复式带露台，抬头看星空，世界就会变得好大好大,610万,高楼层                                    (共7层)                                                                      | 2001年建 |                                5室1厅 | 115.79平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/5260099d-fd8e-4928-aadb-c2b68eaaaa80.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,即将满五年，业主诚心出售，采光通风佳,185万,中楼层                                    (共33层)                                                                      | 2003年建 |                                1室0厅 | 32.48平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/4b039795-cce5-4bed-862f-d824dacb5640.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,培峰苑 2室1厅 南,328万,中楼层                                    (共12层)                                                                      | 2015年建 |                                2室1厅 | 48.25平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/8f3b3ef8-ac14-4282-87f4-a52bbee087e3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，精装设计，翠园东晓为邻，布心地铁口物业,780万,中楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 73平米                                  | 北,http://ke-image.ljcdn.com/hdic-frame/965cfe6c-d7c6-45a4-9d68-f4cf3b673113.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,两房朝南，安静住家，空气清新，满五唯一,530万,低楼层                                    (共10层)                                                                      | 2003年建 |                                2室1厅 | 69.82平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/13386d89-276e-4057-bd7a-4e5444a1f2c6.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满五年唯一，视野宽阔，朝南向，采光充足,435万,中楼层                                    (共19层)                                                                      | 2004年建 |                                2室1厅 | 62.46平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/dd77b81e-0476-48df-b27b-9ea81be8da34.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,淘金山 · 湖景花园二期 3室1厅 南,1500万,中楼层                                    (共31层)                                                                      | 2012年建 |                                3室1厅 | 229.92平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/dd5b13fd-4c6b-4de5-9f7e-246fad9226ae.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,南向  温馨小两房  住家的看过来,300万,低楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 51.96平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/4377807a-5ee2-48e4-ae50-0392ea82e55e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五 格局实用 通透 精装保养好 厅出阳台税费少,760万,低楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 119.98平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/54bba0da-4bb5-44a3-9683-95c1c2da75f2.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,今日家园 3室1厅 南,700万,低楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 62.42平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/555aa755-2a25-48a6-a372-760eb648ea9d.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,厅出阳台 中间楼层易接受人群大 方正户型 业主诚心卖,490万,中楼层                                    (共9层)                                                                      | 1988年建 |                                2室1厅 | 60.23平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/b75a1238-496f-4296-a532-ca1157ecce75.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房精装修，简欧装修风格 高楼层 看罗湖全景 视野好,968万,中楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 121.28平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/prod-806c0ed6-ec4a-411e-9a0c-4341348bafcc.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,总裁推荐  君逸华府  少有大两房  南向,750万,中楼层                                    (共32层)                                                                      | 2002年建 |                                2室1厅 | 78.87平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/d03c41a2-41f7-4da6-8d50-e52e1bb41886.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,欧式风格小区，户型方正，双阳台，看花园,458万,高楼层                                    (共33层)                                                                      | 2009年建 |                                2室2厅 | 72.63平米                                  | 西南,http://ke-image.ljcdn.com/hdic-frame/9e4c1e2c-80c8-4753-9772-d029479b5250.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,万科物业，满五唯一，格局方正 ，采光通风好 ，视野好,512万,高楼层                                    (共10层)                                                                      | 2003年建 |                                2室1厅 | 63.95平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/a09b00d1-0f90-4c6b-8504-c990bc5dded5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,培峰苑 1室1厅 南,240万,低楼层                                    (共12层)                                                                      | 2015年建 |                                1室1厅 | 35.66平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/af781d59-e4ed-4cd7-9439-74331b312042.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,户型方正，采光好，业主诚心出售。,238万,高楼层                                    (共20层)                                                                      | 2005年建 |                                1室1厅 | 40.35平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/63e09994-409e-4696-b49a-ae3dfdd028d1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,09年小区保养好，欧式建筑小区。适合住家,诚心放卖,460万,高楼层                                    (共32层)                                                                      | 2009年建 |                                2室2厅 | 77.32平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/24a31146-5877-4a15-83b9-4714d5740361.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满五年，税费少，业主诚心出售,380万,低楼层                                    (共17层)                                                                      | 2004年建 |                                1室0厅 | 26平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/8233fa05-445b-4bcb-84b6-3c408a766cda.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,松泉公寓     满五年     看房子方便,560万,中楼层                                    (共9层)                                                                      | 1988年建 |                                2室1厅 | 74.58平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/f5511044-5554-450a-8a21-087ecc0aa1d9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年唯一，户型方正，朝向朝南.低楼层，视野好。,575万,中楼层                                    (共7层)                                                                      | 1987年建 |                                2室1厅 | 71.54平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/6c0234b1-f913-48ce-8711-4b779f33ef35.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经典复式，精装设计，翠园东晓为邻，布心地铁口物业,568万,中楼层                                    (共25层)                                                                      | 2002年建 |                                2室1厅 | 62平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/84061a5a-5f2c-4aa4-9f53-ae565b348942.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,水贝珠宝商圈，近地铁，实用大三房，业主诚意出售,500万,中楼层                                    (共31层)                                                                      | 2002年建 |                                3室1厅 | 100.45平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/fae510ab-28fc-453e-81f3-48ad1a479924.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,布心精装两房，楼梯高层，户型方正.,430万,中楼层                                    (共8层)                                                                      | 2002年建 |                                3室1厅 | 77.91平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/9017d32d-590a-4296-92dc-a2f093d9f3e8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,君逸华府    满五年唯一   税费少   红本在手,670万,中楼层                                    (共32层)                                                                      | 2002年建 |                                2室1厅 | 67.62平米                                  | 东,http://ke-image.ljcdn.com/hdic-frame/prod-98bf6e1b-5a8d-4c95-b964-6fde820081e1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,经理推荐花园小区，人车分流，看小区安静，诚心出售！,410万,高楼层                                    (共21层)                                                                      | 2002年建 |                                2室2厅 | 66.82平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/119ff5c5-041a-42f2-97e8-a0b49b19baf0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房满唯一户型好 方正通透 朝南带阳台,850万,中楼层                                    (共7层)                                                                      | 1995年建 |                                4室2厅 | 136.6平米                                  | 南,http://ke-image.ljcdn.com/440300-inspection/a783c80f-234f-4758-b735-f7c28bb71048.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠园东晓未用 满五唯一 红本在手 户型实用,700万,中楼层                                    (共25层)                                                                      | 2002年建 |                                3室1厅 | 76.66平米                                  | 东北,http://ke-image.ljcdn.com/110000-inspection/pc1_z4lTB1g03.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,一手业主，唯一东南向户型，业主诚心放卖！,465万,低楼层                                    (共32层)                                                                      | 2009年建 |                                2室1厅 | 78.13平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/219b8cdc-f8d6-4e24-a198-d017eb8f8082.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房屋现状：红本在手，满五唯一，看房要约，看同户型,590万,中楼层                                    (共34层)                                                                      | 2003年建 |                                3室1厅 | 93平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/71b366e6-4a04-4f4a-a00b-01619d92ec9a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,大地花园 2室1厅 南,300万,低楼层                                    (共26层)                                                                      | 1996年建 |                                2室1厅 | 52.96平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/prod-20714750-82b1-4cba-95ee-e6e51ac23dd5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,长富花园，正南带阳台 方正户型,780万,中楼层                                    (共7层)                                                                      | 1995年建 |                                3室1厅 | 113.87平米                                  | 东,http://ke-image.ljcdn.com/hdic-frame/5674c383-fb0a-4865-95a7-fda19b985047.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,翠景山庄 4室1厅 南,680万,中楼层                                    (共9层)                                                                      | 1997年建 |                                4室1厅 | 119.51平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/d5f08612-3807-419b-9918-6c1280662e28.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,靠山物业 房号靓 人车分流 安静居家,526万,中楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 66.18平米                                  | 北,http://ke-image.ljcdn.com/hdic-frame/b81de7ba-9ab7-4cc9-814c-9328fdcab331.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,君逸华府 3室1厅 东南,960万,高楼层                                    (共32层)                                                                      | 2002年建 |                                3室1厅 | 97.37平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/fbe6f333-1928-4566-912c-5259f66f9359.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,15年小区，看山景，安静居家，车位充足。,600万,高楼层                                    (共31层)                                                                      | 2014年建 |                                3室1厅 | 85.65平米                                  | 南 北,http://ke-image.ljcdn.com/hdic-frame/prod-c5c7f605-fc25-40c7-8ffb-7d673181b908.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五年一套住房  水贝珠宝商圈    少量欠款  配套完善,700万,中楼层                                    (共24层)                                                                      | 2002年建 |                                3室2厅 | 99平米                                  | 东北,http://ke-image.ljcdn.com/hdic-frame/ff440ffc-d5c7-44c0-b170-6d0300f856ba.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房正规三房，高楼层，户型方正采光通风好,979万,高楼层                                    (共17层)                                                                      | 2016年建 |                                3室1厅 | 118.24平米                                  | 东,http://ke-image.ljcdn.com/hdic-frame/c03fa3c5-e3e6-49b9-87be-753994899aa1.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,业主诚心卖，装修保养好，看房方便，有两个固定车位。,1700万,高楼层                                    (共34层)                                                                      | 2005年建 |                                5室3厅 | 234.74平米                                  | 南 东南,http://ke-image.ljcdn.com/440300-inspection/fc240807-bbc4-4793-a8cf-9c367b63234f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满了五年，费用少，诚心出售，楼层好,450万,中楼层                                    (共8层)                                                                      | 1990年建 |                                2室1厅 | 48.32平米                                  | 北,http://ke-image.ljcdn.com/hdic-frame/8b0eb57a-f85e-49dc-a9bc-363788ae8c58.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,房子满两年，红本在手，位置好交通比较好,518万,高楼层                                    (共8层)                                                                      | 1992年建 |                                3室1厅 | 71.95平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/644bc299-79af-43fe-bbc7-1b2947b0765a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,中华花园 3室2厅 西南,500万,高楼层                                    (共29层)                                                                      | 1995年建 |                                3室2厅 | 117.19平米                                  | 西南,http://ke-image.ljcdn.com/hdic-frame/f41b17ed-fc84-44b6-8f68-fb39dbd3adf5.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,户型方正，地铁口，购物方便。业主诚心。,1500万,高楼层                                    (共20层)                                                                      | 2005年建 |                                5室2厅 | 203.75平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/cb0f0b12-3707-40fb-a85a-98e3b0ca7e69.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满三年，端头位置 采光好 看房方便 业主诚心出售,143万,低楼层                                    (共33层)                                                                      | 2003年建 |                                1室1厅 | 34.4平米                                  | 东,http://ke-image.ljcdn.com/hdic-frame/335ab8c2-6e7f-46c0-a430-5ead4eef8e83.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,此房是顶楼复式户型 ，南北通。 视野开阔 ， 适合住家,545万,高楼层                                    (共7层)                                                                      | 1999年建 |                                3室2厅 | 146.46平米                                  | 东南,http://ke-image.ljcdn.com/hdic-frame/10bf8e57-a487-46ba-9d4b-f8077c9f42e3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五 低楼层 看房方便 楼梯实用,478万,低楼层                                    (共7层)                                                                      | 1995年建 |                                3室1厅 | 81.29平米                                  | 南,http://ke-image.ljcdn.com/hdic-frame/d9200309-01c6-469c-86ca-e3546f63c4bf.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,顶楼复式 大大的天台花园，一手业主红本，诚售,1120万,高楼层                                    (共7层)                                                                      | 1998年建 |                                4室2厅 | 139.61平米                                  | 南,http://ke-image.ljcdn.com/440300-frame/dab7cb4b-717f-400e-bd5c-0663953f95345.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五红本，户型方正，客厅飘窗、卧室带阳台,580万,低楼层                                    (共34层)                                                                      | 2003年建 |                                2室1厅 | 81.98平米                                  | 西北,http://ke-image.ljcdn.com/hdic-frame/144c2851-cf0d-4c71-b0ce-de17ffc2c5f8.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,花园式小区，一房一厅业主诚心出售,220万,高楼层                                    (共7层)                                                                      | 2001年建 |                                1室1厅 | 36.16平米                                  | 南 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,罗湖区,布心,维富大厦 4室2厅 南,730万,高楼层                                    (共31层)                                                                      | 2002年建 |                                4室2厅 | 198平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,罗湖区,布心,花园社区，原始生态公园脚下，环境优美，带翠园,500万,高楼层                                    (共7层)                                                                      | 1996年建 |                                3室2厅 | 96.64平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,罗湖区,布心,满五唯一，采光充足，业主诚心卖！,450万,中楼层                                    (共13层)                                                                      | 1997年建 |                                2室1厅 | 86平米                                  | 南,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,罗湖区,布心,海鹰大厦两房 交通便利 配套齐全,530万,高楼层                                    (共7层)                                                                      | 1992年建 |                                2室2厅 | 64.92平米                                  | 北,http://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=202101261829353
20210126,罗湖区,布心,颖隆大厦 2室1厅 东,255万,低楼层                                    (共33层)                                                                      | 2003年建 |                                2室1厅 | 52.27平米                                  | 东,http://ke-image.ljcdn.com/hdic-frame/59f40f3f-ca98-4a88-bcdf-896b205edf95.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,满五，业主诚心放卖，花园小区，单价低。,480万,高楼层                                    (共29层)                                                                      | 1995年建 |                                3室2厅 | 94.26平米                                  | 南,http://ke-image.ljcdn.com/110000-inspection/pc1_an7aVKtgS_1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20210126,罗湖区,布心,地铁口物业 南向 采光通风好 满五年税费少,255万,高楼层                                    (共7层)                                                                      | 1999年建 |                                2室1厅 | 47.8平米                                  | 东南,http://ke-image.ljcdn.com/440300-inspection/pc1_Rs9JFZN3a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
